Team,Matches Played,Total Minutes
Spain,8,750
Argentina,8,810
England,8,750
France,8,720
Belgium,6,570
Switzerland,6,600
Norway,6,570
Morocco,6,570
Mexico,5,450
USA,5,450
Brazil,5,450
Canada,5,450
Colombia,5,480
Egypt,5,480
Portugal,5,~450
Paraguay,5,~480
Algeria,4,360
Australia,4,390
Austria,4,360
Bosnia and Herzegovina,4,360
Cabo Verde,4,390
Congo DR,4,360
Côte d'Ivoire,4,360
Croatia,4,360
Ecuador,4,360
Germany,4,390
Ghana,4,360
Japan,4,360
Netherlands,4,360
Senegal,4,360
South Africa,4,360
Sweden,4,360
Curaçao,3,270
Czechia,3,270
Haiti,3,270
IR Iran,3,270
Iraq,3,270
Jordan,3,270
New Zealand,3,270
Panama,3,270
Qatar,3,270
Saudi Arabia,3,270
Scotland,3,270
Korea Republic,3,270
Tunisia,3,270
Türkiye,3,270
Uruguay,3,270
Uzbekistan,3,270
